home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Mexico,Bulgaria,North America,Europe,16,31,1,1,Friendly,San Diego,TRUE,No,Draw
Spain,Portugal,Europe,Europe,5,20,2,2,Friendly,Vigo,FALSE,No,Draw
Tunisia,Netherlands,Africa,Europe,32,7,2,2,Friendly,Tunis,FALSE,No,Draw
USA,Switzerland,North America,Europe,22,12,1,1,Friendly,Fullerton,FALSE,No,Draw
Barbados,Puerto Rico,North America,North America,114,105,0,1,CFU Caribbean Cup qualification,Bridgetown,FALSE,No,Lose
Mali,Senegal,Africa,Africa,70,56,1,0,Friendly,Bamako,FALSE,No,Win
Saudi Arabia,China PR,Asia,Asia,38,53,1,0,Friendly,Riyadh,FALSE,No,Win
Suriname,Guyana,South America,South America,117,136,2,0,CFU Caribbean Cup qualification,Paramaribo,FALSE,No,Win
Grenada,Puerto Rico,North America,North America,143,105,1,0,CFU Caribbean Cup qualification,Bridgetown,TRUE,No,Win
Qatar,Finland,Asia,Europe,54,45,1,0,Friendly,Doha,FALSE,No,Win
Mexico,Switzerland,North America,Europe,16,12,1,5,Friendly,Oakland,TRUE,No,Lose
Saudi Arabia,China PR,Asia,Asia,38,53,1,1,Friendly,Riyadh,FALSE,No,Draw
Barbados,Grenada,North America,North America,114,143,3,2,CFU Caribbean Cup qualification,Bridgetown,FALSE,No,Win
Qatar,Finland,Asia,Europe,54,45,0,0,Friendly,Doha,FALSE,No,Draw
Venezuela,Colombia,South America,South America,93,21,1,2,Friendly,Barinas,FALSE,No,Lose
Burkina Faso,Guinea,Africa,Africa,127,63,1,1,Friendly,Ouagadougou,FALSE,Yes,Win
Côte d'Ivoire,Niger,Africa,Africa,33,81,5,3,Friendly,Ouagadougou,TRUE,No,Win
USA,Russia,North America,Europe,22,14,1,1,Friendly,Seattle,FALSE,No,Draw
Burkina Faso,Côte d'Ivoire,Africa,Africa,127,33,0,1,Friendly,Ouagadougou,FALSE,No,Lose
Guinea,Niger,Africa,Africa,63,81,1,3,Friendly,Ouagadougou,TRUE,No,Lose
Oman,Finland,Asia,Europe,97,45,0,2,Friendly,Muscat,FALSE,No,Lose
Senegal,Mali,Africa,Africa,56,70,0,0,Friendly,Dakar,FALSE,No,Draw
Oman,Finland,Asia,Europe,97,45,1,1,Friendly,Muscat,FALSE,No,Draw
Egypt,Morocco,Africa,Africa,26,30,1,1,United Arab Emirates Friendship Tournament,Sharjah,TRUE,No,Draw
Mexico,Russia,North America,Europe,16,14,1,4,Friendly,Oakland,TRUE,No,Lose
United Arab Emirates,Slovakia,Asia,Europe,51,150,0,1,United Arab Emirates Friendship Tournament,Sharjah,FALSE,No,Lose
Egypt,Slovakia,Africa,Europe,26,150,1,0,United Arab Emirates Friendship Tournament,Sharjah,TRUE,No,Win
Oman,Kenya,Asia,Africa,97,74,1,0,Friendly,Muscat,FALSE,No,Win
United Arab Emirates,Morocco,Asia,Africa,51,30,1,1,United Arab Emirates Friendship Tournament,Sharjah,FALSE,No,Draw
Morocco,Slovakia,Africa,Europe,30,150,2,1,United Arab Emirates Friendship Tournament,Sharjah,TRUE,No,Win
Oman,Kenya,Asia,Africa,97,74,2,0,Friendly,Muscat,FALSE,No,Win
Saudi Arabia,Colombia,Asia,South America,38,21,1,1,Friendly,Jeddah,FALSE,No,Draw
United Arab Emirates,Egypt,Asia,Africa,51,26,0,1,United Arab Emirates Friendship Tournament,Dubai,FALSE,No,Lose
Gambia,Senegal,Africa,Africa,125,56,0,0,Friendly,Banjul,FALSE,No,Draw
Malta,Tunisia,Europe,Africa,83,32,1,1,Malta International Tournament,Attard,FALSE,No,Draw
Spain,Poland,Europe,Europe,5,28,1,1,Friendly,Santa Cruz de Tenerife,FALSE,No,Draw
Slovenia,Tunisia,Europe,Africa,134,32,2,2,Malta International Tournament,Attard,TRUE,No,Draw
